CAREER,INTEREST AREAS,REQUIRED SKILLS,DEGREES,CERTIFICATIONS,TOOLS/TECHNOLOGIES,PROJECT EXAMPLES,ENTRY LEVEL JOB TITLE,HIGHER OPPORTUNITIES,TOP COMPANIES,LEARNING RESOURCES,ROADMAP,FIELD
Animator (Makes drawings or computer images move for movies or games),"studio, animation, art, design, computer science, graphics, creativity, storytelling, film, technology, digital art, drawing, software, multimedia, arts","Drawing, character design, animation software, storytelling",BFA Animation / Animation Diploma,Adobe Certified Expert,"Adobe Animate, Maya, Toon Boom","Short Animated Clip, Character Rig","Animation Intern, Junior Animator","Lead Animator, Art Director","Pixar, DreamWorks, Disney Animation","Animation Mentor, Blender Guru","Diploma/BA in Animation/Multimedia --> Learn Animation Software (Maya, Blender) --> Build Portfolio --> Junior Animator --> Senior Animator",Arts & Design
Anthropologist (Studies how people and cultures live and grow),"fieldwork, anthropology, history, sociology, culture, geography, archaeology, political science, social studies, human behavior, research, language, communication, history, environment","Field research, critical thinking, data analysis, report writing",B.A / M.A Anthropology,Research Certifications,"Survey tools, SPSS, GIS software","Cultural Field Study, Survey Report","Research Assistant, Junior Anthropologist","Lead Anthropologist, University Professor","UNESCO, Museums, Universities",American Anthropological Association resources,BA/MA in Anthropology --> Fieldwork/Research Assistant --> Junior Researcher --> Researcher --> Professor/Consultant,Social Science
App Developer (Makes apps for phones and computers),"software, programming, computer science, coding, apps, technology, maths, logic, algorithms, design, debugging, databases, engineering, ICT, development","Java, Swift, UI/UX design, mobile frameworks",B.Tech / MCA / Mobile Development Course,"Google Associate Android Developer, Apple Developer Cert","Android Studio, Xcode, Firebase","Simple To-Do App, Recipe App","Mobile App Developer Intern, Junior Developer","Senior Mobile Developer, Product Manager","Infosys, TCS, Google, Zomato","Big Nerd Ranch Guides, Ray Wenderlich","Diploma/BCA/BSc CS/MCA/BTech --> Learn Mobile Programming (Java, Swift) --> Build Apps --> Intern Developer --> Junior Developer --> Senior Developer",Technology
Archaeologist (Digs up and studies old objects from the past),"dig site, archaeology, history, geography, anthropology, sociology, environment, cultural studies, research, biology, earth science, social studies, political science, fieldwork, languages","Archaeological methods, excavation, cataloging, preservation",B.A / M.A Archaeology,"Excavation Certifications, Museum Studies","Dig tools, GIS mapping software","Site Excavation Report, Artifact Cataloging","Excavation Assistant, Junior Archaeologist","Senior Archaeologist, Museum Curator","ASI, National Trust, Universities",Archaeological Institute of America resources,BA/MA in Archaeology/History --> Fieldwork/Research --> Assistant Archaeologist --> Archaeologist --> Senior Archaeologist,Social Science
Architect (Designs buildings and homes),"construction, architecture, design, engineering, maths, physics, art, drawing, CAD, building, materials science, environment, urban planning, project management, surveying","CAD design, structural analysis, project management",B.Arch / M.Arch,"NATA, COA Registration","AutoCAD, Revit, SketchUp","Residential Design Draft, 3D Model","Architectural Assistant, Junior Architect","Senior Architect, Principal Architect","L&T, DLF, Gensler, Foster+Partners","ArchDaily, ""Form Space and Order"", Coursera Architecture",BArch/MArch --> Internship/Training --> Junior Architect --> Licensed Architect --> Senior Architect/Partner,Architecture
Archivist (Saves and organizes old papers and records),"archive, history, library science, documentation, social studies, language, research, organization, preservation, IT, records management, communication, culture, geography, literature","Archival techniques, records management, cataloging",B.A / M.A History / Library Science,Archivist Certification,"Archive software, microfilm readers","Archival Index Project, Collection Catalog","Archives Assistant, Records Technician","Senior Archivist, Collections Manager","National Archives, Libraries, Museums","SAA resources, Coursera Archiving",BA/MA in History/Library Science --> Internship --> Assistant Archivist --> Archivist --> Senior Archivist,Library & Museum
Art Conservator (Fixes and protects paintings and artworks),"museum, art conservation, history, chemistry, physics, biology, cultural studies, art, materials science, restoration, preservation, aesthetics, creativity, museum studies, archaeology","Art restoration, conservation science, attention to detail",BFA / MFA Conservation,Art Conservation Certification,"Restoration tools, UV lamps","Basic Painting Restoration, Condition Report","Art Conservation Assistant, Junior Conservator","Senior Conservator, Museum Director","Art Museums, Galleries, UNESCO",American Institute for Conservation resources,BA/MA in Art Conservation --> Internship/Training --> Assistant Conservator --> Conservator --> Senior Conservator,Arts & Design
Art Director (Decides how things should look in ads movies or magazines),"media, advertising, marketing, business studies, communication, creativity, management, sales, digital media, branding, commerce, economics, English, art, public relations","Visual design, leadership, concept development, communication",BFA / MFA Visual Arts / Design,Adobe Certified Expert,"Photoshop, Illustrator, InDesign","Advertising Campaign Mockup, Magazine Layout","Junior Designer, Art Director Assistant","Senior Art Director, Creative Director","Ogilvy, DDB, Wieden+Kennedy","CreativeLive, ""Art Direction Explained""",BA in Design/Advertising/Film --> Work in Creative Field --> Junior Designer --> Art Director --> Creative Director,Arts & Design
Art Therapist (Helps people feel better using art),"therapy, psychology, art, health science, mental health, biology, communication, counseling, creativity, social studies, English, health, expression, wellbeing, social work","Therapeutic techniques, counseling, art methods, empathy",M.A Art Therapy / Psychology,Licensed Professional Counselor (LPC),"Counseling materials, art supplies","Art-Based Therapy Plan, Case Study","Art Therapy Intern, Assistant Therapist","Lead Therapist, Clinical Director","Hospitals, Rehabilitation Centers",American Art Therapy Association resources,BA in Psychology/Art Therapy --> Certification in Art Therapy --> Internship --> Therapist --> Senior Therapist,Healthcare
Artist (Makes paintings drawings or sculptures),"painting, art, creativity, design, drawing, color theory, aesthetics, crafts, visual arts, sculpture, art history, fine arts, textile design, media, culture","Drawing, painting, creativity, marketing",BFA / MFA Fine Arts,Professional Artist Certification,"Oil paints, drawing tablets, easels","Series of Paintings, Online Portfolio","Studio Assistant, Freelance Artist","Exhibiting Artist, Studio Owner","Galleries, Art Studios, Agencies","Skillshare Art Classes, Proko YouTube",Self-taught/Art School --> Build Portfolio/Exhibitions --> Freelance Projects --> Established Artist --> Art Consultant,Arts & Design
Astronomer (Studies stars planets and space),"space, astronomy, physics, maths, earth science, research, science, computer science, technology, cosmology, geography, astrophysics, data analysis, chemistry, space science","Observational skills, data analysis, telescope operation",B.Sc / M.Sc Astronomy,"Research Certification, Observatory Training","Telescopes, astronomical software","Star Chart, Observation Log","Astronomy Research Assistant, Observatory Tech","Lead Astronomer, Research Director","ISRO, NASA, Universities","NASA Resources, Coursera Astronomy",BSc/MSc Astronomy/Physics --> Research Assistant --> Junior Researcher --> Astronomer --> Senior Scientist,Science
Athletic Trainer (Helps athletes avoid and recover from injuries),"sports, athletic training, health science, biology, physiology, physical education, anatomy, exercise science, nutrition, coaching, psychology, sports science, fitness, first aid, biomechanics","Sports injury management, rehabilitation, fitness planning",B.Sc / M.Sc Athletic Training,Board of Certification (BOC),"Physical therapy equipment, exercise tools","Injury Rehab Plan, Fitness Assessment","Athletic Trainer Intern, Assistant Trainer","Lead Athletic Trainer, Sports Director","Sports Teams, Clinics, Universities","NATA resources, Sports Medicine texts",Diploma/BA in Sports Science/Kinesiology --> Certification --> Internship --> Assistant Trainer --> Athletic Trainer,Sports & Fitness
Audiologist (Helps people with hearing problems),"hearing, audiology, health science, biology, communication, speech therapy, psychology, anatomy, medicine, physics, social work, healthcare, disability studies, counseling, diagnostics","Hearing assessment, audiometry, patient counseling",B.Sc / M.Sc Audiology,"CCC-A Certification, State Licensure","Audiometers, hearing aids, fitting software","Basic Hearing Assessment, Case Study","Audiology Assistant, Junior Audiologist","Senior Audiologist, Clinic Director","Hospitals, ENT Clinics, Hearing Centers","ASHA resources, AudiologyOnline",BSc/MSc Audiology --> Certification --> Clinical Internship --> Junior Audiologist --> Audiologist,Healthcare
Author (Writes books and stories),"writing, literature, English, creative writing, language, communication, reading, editing, journalism, storytelling, publishing, grammar, media studies, arts, humanities","Creative writing, editing, storytelling, discipline",B.A / M.A Literature / Creative Writing,"Writing Workshops, Editorial Certificates","Scrivener, MS Word, Grammarly","Short Story Collection, Blog Series","Editor Assistant, Freelance Writer","Author, Editor-in-Chief","Publishing Houses, Magazines, Agencies","Stephen King's ""On Writing"", Coursera Writing",BA/MA in Literature/Creative Writing --> Write and Publish --> Freelance/Publishing Deals --> Established Author,Writing & Media
Auto Mechanic (Fixes cars and trucks),"automotive, mechanics, engineering, technology, physics, electronics, repair, workshop, tools, design, maths, applied science, safety, manufacturing, diagnostics","Automotive repair, diagnostics, mechanical skills, problem-solving",Automotive Technician Diploma / Certification,ASE Certification,"OBD scanners, automotive tools","Basic Engine Repair, Brake Replacement","Apprentice Mechanic, Junior Technician","Senior Mechanic, Shop Supervisor","Maruti, Hyundai, Authorized Workshops",Automotive Service Excellence (ASE) resources,Diploma/ITI in Auto Mechanics --> Apprenticeship --> Junior Mechanic --> Senior Mechanic,Automotive
Baker (Makes bread and pastries),"baking, cooking, culinary arts, food science, chemistry, nutrition, health science, home science, business, hospitality, food safety, kitchen skills, creativity, microbiology, service","Baking techniques, recipe development, time management",Culinary Diploma / Baking Certification,ServSafe Certification,"Ovens, mixers, pastry tools","Signature Bread Recipe, Cake Design","Assistant Baker, Pastry Cook","Head Baker, Bakery Owner","Taj Hotels, Oberoi, Bakeries","King Arthur Baking School, YouTube Baking Channels",Diploma/Certificate in Baking/Pastry --> Apprenticeship --> Junior Baker --> Head Baker --> Bakery Owner,Food Service
Bank Manager (Runs a bank branch and its staff),"finance, banking, business studies, commerce, accounting, money, economics, management, sales, customer service, investment, loans, communication, finance, marketing","Leadership, finance management, customer relations, sales strategy",B.Com / MBA Finance,Certified Bank Manager Programs,"Core banking software, CRM systems","Branch Performance Report, Customer Outreach Plan","Assistant Bank Manager, Relationship Manager","Branch Manager, Regional Manager","HDFC Bank, ICICI, SBI, Axis Bank","American Bankers Association courses, Coursera Finance",BBA/MBA/Finance Degree --> Entry-level Bank Jobs --> Officer --> Branch Manager --> Regional Manager,Finance
Bank Teller (Handles money transactions at the bank),"banking, finance, customer service, money handling, accounting, commerce, economics, business studies, communication, management, cash flow, organization, sales, finance, record keeping","Cash handling, customer service, attention to detail",B.Com / Banking Diploma,Cash Handling Certification,"Banking software, cash counters","Cash Reconciliation Log, Transaction Tracker","Teller, Customer Service Associate","Senior Teller, Operations Supervisor","PNB, Bank of Baroda, Canara Bank","EdX Banking Fundamentals, Investopedia",Diploma/B.Com/BBA --> On-the-job Training --> Teller --> Senior Teller --> Supervisor,Finance
Barber (Cuts and styles hair mainly for men),"salon, barbering, hair care, beauty, cosmetology, hygiene, styling, communication, health science, anatomy, customer service, fashion, personal care, grooming, service industry","Hair cutting, styling, hygiene, customer service",Barbering Certification / Vocational Training,State Barber License,"Scissors, clippers, styling products","Basic Haircut Portfolio, Customer Service Guide","Apprentice Barber, Junior Stylist","Lead Barber, Shop Owner","Local Salons, Spas, Chains","American Barber Association resources, YouTube tutorials",Diploma/Certificate in Barbering --> Apprenticeship --> Junior Barber --> Senior Barber --> Salon Owner,Personal Care
Bartender (Makes and serves drinks at bars),"bar, bartending, hospitality, customer service, drinks, mixology, social skills, communication, food safety, event management, sales, nightlife, beverage service, bar equipment, teamwork","Mixology, customer service, multitasking, responsible serving",Bartending School Certificate,Responsible Beverage Service Certification,"Bar tools, POS systems","Signature Cocktail Recipe, Menu Design","Bartender Assistant, Barback","Senior Bartender, Bar Manager","Hotels, Pubs, Restaurants","Diageo Bar Academy, Mixology books",Diploma/Certificate in Bartending --> Apprenticeship --> Junior Bartender --> Senior Bartender --> Bar Manager,Food Service
Biochemist (Studies chemicals in living things),"lab, biochemistry, chemistry, biology, molecular biology, research, science, experimentation, analysis, health science, microbiology, chemical reactions, lab safety, pharmaceuticals, biology","Lab techniques, data analysis, research, attention to detail",B.Sc / M.Sc Biochemistry,Laboratory Safety Certification,"Pipettes, spectrophotometers, lab software","Protein Analysis Report, Lab Protocol","Junior Biochemist, Lab Technician","Lead Biochemist, Research Manager","Biocon, Dr. Reddy?, Research Labs","Biochemistry textbooks, Coursera Biochemistry",BSc/MSc Biochemistry --> Lab Internships --> Junior Biochemist --> Research Scientist --> Senior Scientist,Science
Biologist (Studies animals plants and life),"biology, life science, research, ecology, zoology, botany, environment, genetics, health science, chemistry, fieldwork, anatomy, physiology, science, biodiversity","Field research, lab analysis, critical thinking",B.Sc / M.Sc Biology,"Research Certification, Lab Safety","PCR machines, microscopes","Species Observation Log, Lab Report","Junior Biologist, Research Assistant","Research Scientist, Lab Director","ICMR, CSIR, Wildlife NGOs","NCBI resources, Khan Academy Biology",BSc/MSc Biology --> Field/Research Internship --> Junior Biologist --> Researcher --> Senior Scientist,Science
Biomedical Engineer (Makes medical tools and devices),"hospital, biomedical engineering, technology, design, electronics, biology, health science, physics, medical devices, research, mechanics, innovation, computer science, anatomy, physiology","Biomedical device design, electronics, problem-solving",B.Tech / M.Tech Biomedical Engineering,Professional Engineer (PE) License,"AutoCAD, MATLAB, medical devices","Design a Prosthetic Concept, Device Analysis","Junior Biomedical Engineer, Lab Technician","Lead Engineer, R&D Manager","Philips, GE Healthcare, Medtronic","IEEE resources, Coursera Biomedical Engineering",BTech/BE Biomedical Engineering --> Internship --> Junior Engineer --> Senior Engineer --> Project Manager,Engineering
Biostatistician (Uses math to study health and biology data),"health science, biostatistics, statistics, data analysis, mathematics, research, biology, epidemiology, public health, computer science, modeling, probability, science, health policy, statistics","Statistics, R programming, clinical trial design, data visualization",B.Sc / M.Sc Biostatistics,"SAS Certification, Clinical Research Certificate","R, SAS, SPSS","Clinical Trial Analysis, Data Report","Biostatistician Assistant, Junior Analyst","Senior Biostatistician, Research Director","WHO, Pharma Companies, Research Labs","Stanford Biostatistics courses, Datacamp",BSc/MSc Statistics/Biology --> Learn Statistical Software --> Intern/Data Analyst --> Biostatistician --> Senior Analyst,Science
Blacksmith (Makes things by shaping hot metal),"workshop, blacksmithing, metalwork, forging, craftsmanship, design, tools, heating, shaping, manufacturing, construction, materials science, trade skills, welding, fabrication","Metalworking, forging, design, precision",Certificate in Blacksmithing / Vocational Training,Trade Certifications,"Forge, anvils, hammers","Basic Tool Forge, Decorative Piece","Apprentice Blacksmith, Junior Metalsmith","Master Blacksmith, Workshop Owner","Crafts Studios, Heritage Organizations",Artist Blacksmith Association resources,Vocational Training/Apprenticeship --> Practice Craft --> Junior Blacksmith --> Senior Blacksmith --> Master Blacksmith,Metalworking
Blogger (Writes articles or posts on websites regularly),"online, blogging, writing, communication, content creation, social media, marketing, digital media, creativity, journalism, storytelling, SEO, website management, advertising, writing","Content writing, SEO, social media, discipline",B.A English / Journalism / Blogging Certification,Content Marketing Certification,"WordPress, Canva, SEO tools","Blog Series, Content Calendar","Blogging Assistant, Freelance Writer","Professional Blogger, Content Manager","Media Houses, Agencies, Self-Employed","ProBlogger, Copyblogger",Self-taught --> Start Blog --> Build Audience --> Freelance Writing --> Full-time Blogger/Influencer,Writing & Media
Book Editor (Checks and improves written work before publishing),"books, editing, proofreading, literature, writing, grammar, communication, language, arts, English, publishing, reading, creativity, media, content","Editing, grammar, attention to detail, communication",B.A / M.A Literature / Publishing,Editing Certificate,"Adobe InDesign, MS Word, Grammarly","Short Story Editing Project, Proofreading Exercise","Editorial Assistant, Junior Editor","Senior Editor, Publishing Director","Penguin, HarperCollins, Magazines","Poynter Editing Courses, The Chicago Manual of Style",BA in English/Literature/Journalism --> Intern in Publishing --> Assistant Editor --> Editor --> Senior Editor,Writing & Media
Bookkeeper (Records money coming in and out for a business),"finance, accounts, bookkeeping, money, commerce, maths, auditing, records, ledger, business studies, organisation, reporting, budget, tax, excel","Bookkeeping, accounting software, detail orientation",B.Com / Accounting Diploma,"QuickBooks Certification, Certified Bookkeeper","Tally, QuickBooks, Excel","Monthly Ledger Project, Invoice Tracker","Bookkeeping Assistant, Accounts Clerk","Senior Bookkeeper, Accounts Manager","SMEs, Accounting Firms, Startups","Intuit Academy, Coursera Accounting",Diploma/Certificate in Accounting --> Learn Accounting Software --> Junior Bookkeeper --> Senior Bookkeeper --> Accounting Manager,Accounting
Botanist (Studies plants and how they grow),"plants, biology, botany, environment, chemistry, zoology, ecology, science, nature, fieldwork, research, genetics, life science, earth science, biology","Plant identification, lab research, fieldwork",B.Sc / M.Sc Botany,Research Certification,"Herbarium tools, microscopes","Plant Catalog, Field Study Report","Junior Botanist, Lab Assistant","Senior Botanist, Research Lead","Botanical Gardens, Research Institutes","Botanical Society resources, EdX Botany",BSc/MSc Botany --> Research Internship --> Junior Botanist --> Researcher --> Senior Botanist,Science
Broadcast Technician (Operates TV or radio equipment),"broadcast, audio, video, technician, media, communication, electronics, tv, radio, technology, engineering, signal, production, sound, recording","Broadcast equipment operation, audio editing, troubleshooting",Broadcasting Diploma / B.Sc Media Studies,"AVID Certification, FCC License","Mixing consoles, cameras, editing suites","Podcast Production, Video Segment Editing","Broadcast Assistant, Junior Technician","Senior Broadcast Engineer, Studio Manager","TV Channels, Radio Stations","AVID Learning, LinkedIn Learning",Diploma/BA in Broadcasting --> Internships --> Junior Technician --> Senior Technician --> Supervisor,Media & Broadcasting
Broker (Helps people buy or sell things like stocks or houses),"finance, trading, stocks, broker, commerce, economics, money, market, investment, business studies, maths, analysis, negotiation, sales, banking","Financial analysis, negotiation, client management",B.Com / BBA Finance,Registered Investment Advisor License,"Trading platforms, CRM tools","Investment Portfolio Plan, Client Analysis","Junior Broker, Trading Assistant","Senior Broker, Portfolio Manager","ICICI Securities, Motilal Oswal, HDFC Securities","NISM Courses, Investopedia Trading",BBA/MBA Finance/Economics --> Licensing Exams --> Junior Broker --> Senior Broker --> Broker Manager,Finance
Building Inspector (Checks if buildings are safe and follow rules),"building, safety, inspection, construction, civil engineering, physics, environment, regulation, structure, survey, design, maths, report, law, management","Construction regulations, safety standards, inspections",Civil Engineering Diploma / B.Tech,Certified Building Inspector License,"Inspection tools, CAD software","Inspection Report, Compliance Checklist","Building Inspector Assistant, Site Supervisor","Senior Inspector, Safety Director","Municipal Corporations, Private Builders","ICC resources, Coursera Construction",Diploma/ITI Civil Engineering --> On-job Training --> Junior Inspector --> Inspector --> Senior Inspector,Construction & Inspection
Bus Driver (Drives buses to carry passengers),"bus, driver, transport, city, vehicle, road safety, communication, schedule, license, driving, logistics, travel, mechanics, management, customer service","Driving skills, route planning, safety awareness","Driver? License, Commercial Driving License",Defensive Driving Certification,"GPS systems, vehicle logbooks","Route Plan, Safety Checklist","Bus Driver Trainee, Junior Driver","Senior Driver, Transport Supervisor","Transport Corporations, Private Fleets","RTO resources, Safe Driving Training",Driving License/Certification --> Training --> Junior Driver --> Senior Driver --> Lead Driver,Transportation
Business Analyst (Looks at business data to help improve it),"business, analyse, data, commerce, management, economics, statistics, finance, communication, marketing, maths, problem solving, reports, planning, strategy","Data analysis, business strategy, problem-solving",BBA / MBA / B.Tech,Certified Business Analyst Professional (CBAP),"Excel, Tableau, SQL","Business Requirements Document, Dashboard","Junior Business Analyst, Analyst Trainee","Senior Analyst, Strategy Manager","Infosys, Accenture, Deloitte","BA Times, IIBA Resources",BBA/MBA/CS --> Learn Business Tools --> Intern --> Junior Analyst --> Senior Analyst --> Manager,Business & Consulting
